epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.9983,0.88227,0.6346,1.11747,0.846,0.81634,0.85916,0.67202,0.73209,0.47296,1.10295,0.000470066,0.000470066,0.000470066
2,37.5154,0.72179,0.50009,1.03441,0.86313,0.8961,0.88511,0.64005,0.77365,0.47864,1.12966,0.00092766,0.00092766,0.00092766
3,52.9856,0.71233,0.45856,1.00894,0.89558,0.85724,0.89355,0.67631,0.70036,0.45784,1.08413,0.00136639,0.00136639,0.00136639
4,70.5583,0.7321,0.48493,1.02399,0.94869,0.81279,0.909,0.72933,0.65054,0.47276,1.03664,0.00134412,0.00134412,0.00134412
5,86.6915,0.71609,0.47054,1.01102,0.90268,0.871,0.8912,0.69096,0.68327,0.56384,1.0586,0.00131582,0.00131582,0.00131582
6,102.938,0.68164,0.45395,0.97996,0.90011,0.88095,0.90662,0.72497,0.64099,0.49966,1.04732,0.00128753,0.00128753,0.00128753
7,118.341,0.64765,0.42674,0.9621,0.8315,0.88788,0.90128,0.70182,0.6559,0.46966,1.06363,0.00125923,0.00125923,0.00125923
8,134.925,0.66256,0.45045,0.99349,0.9133,0.81943,0.88611,0.70565,0.645,0.5079,1.07711,0.00123094,0.00123094,0.00123094
9,150.366,0.60377,0.4214,0.95362,0.94448,0.82531,0.90743,0.72981,0.61061,0.43748,1.02291,0.00120265,0.00120265,0.00120265
10,166.682,0.66721,0.4425,0.98328,0.911,0.86039,0.90897,0.75261,0.58205,0.45211,1.00663,0.00117435,0.00117435,0.00117435
11,182.606,0.61663,0.4204,0.97377,0.95606,0.83464,0.91174,0.75128,0.62947,0.45287,1.01189,0.00114606,0.00114606,0.00114606
12,199.19,0.61386,0.41397,0.96456,0.88258,0.815,0.89199,0.72637,0.62185,0.47734,1.03309,0.00111776,0.00111776,0.00111776
13,214.738,0.58323,0.40266,0.95622,0.92043,0.87416,0.91045,0.73887,0.61983,0.44642,1.05444,0.00108947,0.00108947,0.00108947
14,231.484,0.58997,0.38017,0.93739,0.84639,0.88908,0.89982,0.74636,0.57917,0.409,1.01942,0.00106118,0.00106118,0.00106118
15,246.893,0.58448,0.38053,0.95725,0.92576,0.88223,0.90523,0.75643,0.60026,0.44663,1.01873,0.00103288,0.00103288,0.00103288
16,264.223,0.60663,0.37912,0.94943,0.93862,0.85444,0.90558,0.74087,0.62296,0.41518,1.0404,0.00100459,0.00100459,0.00100459
17,279.599,0.54669,0.35798,0.94333,0.94657,0.85477,0.91006,0.7465,0.56229,0.41049,1.01464,0.000976293,0.000976293,0.000976293
18,295.081,0.57152,0.36647,0.95563,0.95525,0.83263,0.89771,0.73678,0.56774,0.43957,1.00161,0.000947999,0.000947999,0.000947999
19,311.051,0.56365,0.3675,0.93489,0.91776,0.85228,0.89891,0.7374,0.57822,0.42873,1.00567,0.000919704,0.000919704,0.000919704
20,326.455,0.55897,0.35375,0.94094,0.89307,0.87858,0.90891,0.73687,0.59939,0.4325,1.02064,0.00089141,0.00089141,0.00089141
21,343.276,0.564,0.37252,0.95682,0.93045,0.86672,0.90801,0.75903,0.57434,0.38493,1.00624,0.000863116,0.000863116,0.000863116
22,360.299,0.56814,0.34699,0.92031,0.90315,0.86481,0.90833,0.76837,0.57122,0.41136,1.0075,0.000834822,0.000834822,0.000834822
23,377.63,0.55255,0.35487,0.9322,0.95405,0.82576,0.90949,0.75482,0.59176,0.4011,1.00951,0.000806528,0.000806528,0.000806528
24,393.233,0.53704,0.34306,0.92417,0.96216,0.84635,0.91134,0.7666,0.56022,0.38988,1.0079,0.000778233,0.000778233,0.000778233
25,409.864,0.54924,0.35624,0.92825,0.87936,0.84451,0.89815,0.74687,0.57427,0.38581,1.01138,0.000749939,0.000749939,0.000749939
26,425.311,0.50935,0.33682,0.90995,0.85884,0.88802,0.90162,0.75646,0.55237,0.3739,1.0053,0.000721645,0.000721645,0.000721645
27,441.497,0.53842,0.34698,0.9222,0.85096,0.89247,0.89768,0.75647,0.53779,0.37865,0.98759,0.000693351,0.000693351,0.000693351
28,456.86,0.52592,0.33224,0.93946,0.84744,0.8566,0.89377,0.76106,0.53456,0.38453,0.97901,0.000665057,0.000665057,0.000665057
29,473.466,0.53502,0.32497,0.92078,0.85051,0.87006,0.90283,0.74016,0.54626,0.37729,1.01228,0.000636762,0.000636762,0.000636762
30,489.03,0.50238,0.3046,0.908,0.87521,0.8644,0.90274,0.74388,0.55631,0.3986,0.99705,0.000608468,0.000608468,0.000608468
31,504.364,0.50505,0.31481,0.9094,0.82465,0.88799,0.89656,0.7356,0.54256,0.40087,0.98217,0.000580174,0.000580174,0.000580174
32,521.079,0.47614,0.30337,0.89548,0.96442,0.8479,0.9079,0.75364,0.54287,0.37906,0.9783,0.00055188,0.00055188,0.00055188
33,536.588,0.47592,0.30341,0.89354,0.94112,0.8584,0.90715,0.75007,0.52879,0.38762,0.99209,0.000523586,0.000523586,0.000523586
34,553.254,0.48754,0.31397,0.91036,0.89909,0.82528,0.88944,0.73319,0.51732,0.3963,0.97885,0.000495291,0.000495291,0.000495291
35,568.839,0.51304,0.32378,0.91679,0.88366,0.88651,0.90295,0.74712,0.53397,0.37931,0.98728,0.000466997,0.000466997,0.000466997
36,585.47,0.44449,0.27973,0.87856,0.94687,0.86072,0.91584,0.76675,0.53206,0.36161,0.98672,0.000438703,0.000438703,0.000438703
37,600.944,0.47441,0.28356,0.89445,0.9539,0.85486,0.91604,0.775,0.52307,0.35207,0.97269,0.000410409,0.000410409,0.000410409
38,618.249,0.46451,0.28043,0.89518,0.94973,0.86358,0.91639,0.77285,0.53866,0.36264,0.9781,0.000382115,0.000382115,0.000382115
39,633.602,0.44656,0.28759,0.89781,0.95048,0.89012,0.91542,0.7851,0.51794,0.35877,0.97839,0.00035382,0.00035382,0.00035382
40,650.818,0.45134,0.27941,0.89151,0.94537,0.89105,0.91025,0.76259,0.53208,0.35438,0.98726,0.000325526,0.000325526,0.000325526
