epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.7867,0.5182,1.62288,0.92167,0.93362,0.94236,0.96976,0.76811,0.58942,0.7719,0.97682,0.000657895,0.000657895,0.000657895
2,34.4152,0.53486,0.67592,0.90787,0.92131,0.95285,0.97885,0.76247,0.64653,0.62535,1.01986,0.00129178,0.00129178,0.00129178
3,50.0481,0.61637,0.54119,0.92059,0.9197,0.9603,0.96696,0.73672,0.6341,0.57096,1.00492,0.00189266,0.00189266,0.00189266
4,67.727,0.6655,0.5269,0.95668,0.93362,0.93797,0.97327,0.74118,0.73144,0.58934,1.03802,0.0018515,0.0018515,0.0018515
5,83.3285,0.68229,0.52145,0.9608,0.95049,0.9527,0.97073,0.76015,0.67281,0.51143,1.01773,0.001802,0.001802,0.001802
6,110.395,0.66757,0.48858,0.94932,0.9381,0.94012,0.9715,0.76629,0.67982,0.5136,1.04006,0.0017525,0.0017525,0.0017525
7,126.377,0.63152,0.44853,0.9278,0.94315,0.95782,0.9736,0.77664,0.66419,0.47698,1.0396,0.001703,0.001703,0.001703
8,144.574,0.63665,0.47726,0.95554,0.9439,0.94293,0.96965,0.77656,0.64328,0.5175,1.03132,0.0016535,0.0016535,0.0016535
9,161.278,0.59948,0.44743,0.92771,0.96704,0.94541,0.97437,0.79598,0.63202,0.44623,1.02183,0.001604,0.001604,0.001604
10,179.01,0.64778,0.44154,0.958,0.95663,0.93054,0.97428,0.75896,0.69943,0.46489,1.04928,0.0015545,0.0015545,0.0015545
11,195.433,0.59245,0.41576,0.94383,0.9464,0.96381,0.97566,0.80062,0.61085,0.42228,0.99645,0.001505,0.001505,0.001505
12,212.567,0.57735,0.40835,0.93663,0.95328,0.96204,0.9769,0.81096,0.60425,0.42862,1.01131,0.0014555,0.0014555,0.0014555
13,230.452,0.56874,0.39528,0.93392,0.94919,0.92713,0.97096,0.78537,0.62274,0.44818,1.004,0.001406,0.001406,0.001406
14,246.211,0.61361,0.40847,0.92427,0.96397,0.93052,0.97827,0.80477,0.6051,0.43018,0.9852,0.0013565,0.0013565,0.0013565
15,263.214,0.58036,0.40436,0.94174,0.96132,0.95533,0.98096,0.81547,0.58761,0.41127,0.9893,0.001307,0.001307,0.001307
16,280.809,0.57515,0.37748,0.92557,0.93654,0.96774,0.9762,0.80325,0.61733,0.39776,1.01227,0.0012575,0.0012575,0.0012575
17,297.568,0.5358,0.36693,0.91858,0.9542,0.93057,0.97379,0.79521,0.59182,0.40741,0.9948,0.001208,0.001208,0.001208
18,313.401,0.54991,0.36941,0.92724,0.95416,0.95285,0.97643,0.80056,0.58737,0.36088,1.00154,0.0011585,0.0011585,0.0011585
19,330.881,0.53922,0.35173,0.91234,0.96051,0.96579,0.97668,0.80473,0.58018,0.3602,0.98462,0.001109,0.001109,0.001109
20,347.936,0.52354,0.34198,0.90897,0.97254,0.96686,0.97629,0.82132,0.56034,0.34331,0.98856,0.0010595,0.0010595,0.0010595
21,365.988,0.53681,0.36556,0.93025,0.96501,0.95799,0.98515,0.81952,0.57522,0.35474,0.99622,0.00101,0.00101,0.00101
22,381.821,0.5388,0.34315,0.89496,0.97928,0.94293,0.98674,0.82102,0.56529,0.3393,0.99625,0.0009605,0.0009605,0.0009605
23,399.004,0.52425,0.34501,0.9118,0.97611,0.93797,0.97794,0.81815,0.58668,0.35666,0.99662,0.000911,0.000911,0.000911
24,414.681,0.50139,0.32668,0.89957,0.9647,0.95285,0.97815,0.82015,0.55278,0.36371,0.9821,0.0008615,0.0008615,0.0008615
25,432.016,0.52486,0.34943,0.90851,0.95534,0.9603,0.97752,0.80349,0.58072,0.3647,0.98613,0.000812,0.000812,0.000812
26,447.719,0.49351,0.3279,0.89083,0.96732,0.95488,0.97849,0.8224,0.55442,0.35787,0.97217,0.0007625,0.0007625,0.0007625
27,465.663,0.51656,0.33654,0.89895,0.96247,0.95452,0.97786,0.81273,0.56538,0.36762,0.98629,0.000713,0.000713,0.000713
28,481.603,0.49905,0.32281,0.90813,0.95551,0.95934,0.97818,0.80899,0.56016,0.35444,0.98372,0.0006635,0.0006635,0.0006635
29,499.031,0.50391,0.31826,0.89069,0.94903,0.97021,0.97972,0.81508,0.55601,0.33942,0.98269,0.000614,0.000614,0.000614
30,515.186,0.4737,0.30026,0.8842,0.96043,0.96374,0.98775,0.82466,0.53102,0.32924,0.97122,0.0005645,0.0005645,0.0005645
31,534.422,0.43106,0.28772,0.88169,0.95343,0.9652,0.97858,0.81918,0.55505,0.33952,0.96993,0.000515,0.000515,0.000515
32,550.088,0.42385,0.28116,0.87381,0.95799,0.96201,0.9782,0.82,0.56345,0.34669,0.97658,0.0004655,0.0004655,0.0004655
